attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
130,98,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Platinum,,,,
131,99,2018.0,,,,Attribution by third-party,"Political statement / report (e.g., on government / state agency websites)",,,,"Axiom/APT17/Aurora Panda/Bronze Keystone/Tailgater Team/Group 72/Dogfish/G0001 (MSS, Jinan Bureau) < Winnti Umbrella/G0044 ",CN,China,State affiliated actor,
132,100,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
133,100,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
134,101,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
135,101,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
136,102,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,DarkUniverse,,,,
138,104,,,,,Receiver attributes attacker,"Political statement / report (e.g., on government / state agency websites)",,,,,CN,China,,
139,105,2011.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,,,State,
144,108,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
145,108,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
148,110,2013.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,NSA/Equation Group,US,United States,State,
149,110,2013.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,NSA/Equation Group,US,United States,State,
150,111,2017.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,PA,Panama,State,
151,111,2017.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,PA,Panama,State,
